2025-12-02 20:02:46,033 - INFO - Machine created: miky (windows, core i9, 32GB)
2025-12-02 20:26:55,522 - INFO - Machine created: Miky (Windows, Core i9, 32GB)
2025-12-02 20:28:33,595 - INFO - Machine created: miky (windows, core i9, 32GB)
2025-12-02 20:30:03,335 - INFO - Machine created: miky (windows, core i9, 32GB)
2025-12-02 20:32:09,706 - INFO - Machine created: miky (windows, core i9, 32GB)
2025-12-02 20:35:31,950 - INFO - Machine created: miky (windows, core i9, 32GB)
2025-12-02 20:37:24,713 - INFO - Machine created: Miky (windows, core i9, 32GB)
2025-12-02 20:40:55,962 - INFO - Machine created: Miky (Windows, core i9, 32GB)
2025-12-02 20:43:23,598 - INFO - Machine created: Miky (Windows, core i9, 32GB)
2025-12-02 20:46:51,988 - INFO - Machine created: Miky (windows, core i9, 32GB)
2025-12-02 20:47:31,574 - INFO - Machine created: Miky (windows, core i9, 32GB)
2025-12-02 20:48:42,239 - INFO - Machine created: Miky (windows, core i9, 32GB)
2025-12-02 20:49:18,610 - INFO - Machine created: Miky (windows, core i9, 32GB)
2025-12-02 20:49:42,050 - INFO - Machine created: miky (windows, core i9, 32GB)
2025-12-02 20:51:48,640 - INFO - Machine created: Miky (windows, core i9, 32GB)
2025-12-02 20:52:15,292 - INFO - Machine created: Miky (Windows, core i9, 32GB)
2025-12-02 20:57:07,509 - INFO - Machine created: Miky (windows, core i9, 32GB)
2025-12-02 20:58:49,079 - INFO - Machine created: miky (windows, core i9, 32GB)
2025-12-02 21:01:35,785 - INFO - Machine created: Miky (windows, core i9, 32GB)
